Year,Maize_Production,Rice_Production,Yams_Production,Wheat_Production,Tomatoes_Production,Tea_Production,Sweet_potatoes_Production,Sunflower_seed_Production,Sugar_cane_Production,Soybeans_Production,Rye_Production,Potatoes_Production,Oranges_Production,"Peas,_dry_Production",Palm_oil_Production,Grapes_Production,"Coffee,_green_Production",Cocoa_beans_Production,"Meat,_chicken_Production",Bananas_Production,Avocados_Production,Apples_Production
1961,7356539.0,25280594.0,2321063.0,22805480.0,4413917.0,138854.0,5033128.0,1690196.0,62186510.0,8029291.0,1715037.0,11243848.0,2200540.0,532904.0,1653652.0,3537944.0,274269.0,169818.0,1563440.0,2679585.0,132483.0,2791163.0
1962,7332018.0,20463267.0,2186754.0,23937855.0,4504907.0,129620.0,5273856.0,1602945.0,59830780.0,9112433.0,1638671.0,11577596.0,2786343.0,568818.0,1561938.0,3271495.0,293018.0,179309.0,1616649.0,2728732.0,127149.0,3104068.0
1963,7913461.0,21203068.0,2357439.0,23230006.0,4596862.0,128523.0,4907551.0,1723984.0,56899567.0,9887628.0,1557605.0,11097657.0,2817014.0,552561.0,1545786.0,3269712.0,275006.0,197453.0,1660624.0,2616333.0,144557.0,2658673.0
1964,7763330.0,20166757.0,2119693.0,23423937.0,3072404.0,123960.0,5183679.0,1625712.0,58508203.0,8316723.0,1685046.0,12530453.0,2595879.0,612273.0,1248540.0,3095228.0,273499.0,206245.0,1715291.0,3060378.0,126608.0,2561952.0
1965,8140372.0,21377416.0,2456715.0,23786315.0,2988445.0,126815.0,5018601.0,1628832.0,55885347.0,6680110.0,1609127.0,12457120.0,2744217.0,686171.0,841767.0,3304630.0,273646.0,201634.0,1716268.0,2937549.0,147273.0,2578001.0
1966,8819584.0,20572592.0,2274611.0,18930787.0,1916750.0,125084.0,4758761.0,1105040.0,61561794.0,8698269.0,1726210.0,10350095.0,2343770.0,658601.0,986981.0,2709569.0,293311.0,232824.0,999444.0,2447822.0,133293.0,2001386.0
1967,9733344.0,21695110.0,2250876.0,20307176.0,1932995.0,131702.0,4976769.0,1268013.0,57755592.0,8651337.0,1839380.0,10410269.0,2485538.0,753401.0,967702.0,2954262.0,228796.0,216890.0,1037064.0,2489323.0,136262.0,2151255.0
1968,9172520.0,22045021.0,2542522.0,20772729.0,1764092.0,120747.0,5486024.0,1154468.0,50509208.0,6593026.0,1542619.0,10597707.0,2643323.0,726330.0,1008123.0,3382953.0,250531.0,238629.0,1074766.0,2566070.0,141728.0,2603356.0
1969,9681684.0,21093077.0,2433622.0,22084614.0,1816408.0,118126.0,5075581.0,1378976.0,47838650.0,7114251.0,1894955.0,10808462.0,2258397.0,747724.0,1269772.0,3158220.0,284460.0,224569.0,1111169.0,2600023.0,111704.0,2545206.0
1970,9478056.0,21501084.0,2364295.0,22403810.0,1929878.0,126720.0,4857294.0,1231295.0,44544344.0,7088883.0,1782676.0,10480830.0,2168643.0,640190.0,1132908.0,2800814.0,313323.0,216343.0,883639.0,2672191.0,118347.0,2640579.0
1971,11112614.0,22396909.0,2748485.0,22743006.0,1713664.0,119166.0,4816790.0,1325664.0,46532716.0,7682422.0,1994426.0,9767739.0,2303195.0,651032.0,1011622.0,3066131.0,283827.0,207456.0,914596.0,2716690.0,116448.0,2750014.0
1972,10924033.0,21310189.0,2896336.0,22268278.0,1898017.0,114625.0,4995409.0,1443412.0,44834633.0,6769772.0,2016196.0,10188292.0,2241845.0,664951.0,1037346.0,2761027.0,246621.0,195010.0,941890.0,2688673.0,123615.0,2779127.0
1973,11262618.0,21157890.0,2536931.0,21645187.0,1765894.0,118549.0,5102312.0,1292447.0,45419362.0,6995004.0,1941603.0,9262791.0,2088158.0,623328.0,1134521.0,2463136.0,301697.0,209631.0,835450.0,2613461.0,126595.0,2837015.0
1974,10886263.0,22431357.0,2621168.0,22044577.0,2002061.0,112216.0,4966489.0,1519902.0,49951836.0,6762338.0,2009569.0,9709643.0,2127437.0,649954.0,1415284.0,2750078.0,326867.0,224618.0,792826.0,2885221.0,128596.0,2912164.0
1975,12117516.0,22008250.0,2619332.0,20510312.0,1904280.0,112682.0,4935620.0,1563106.0,47593383.0,5831127.0,1890961.0,9496967.0,2169286.0,686519.0,1385978.0,3027954.0,332046.0,236327.0,826768.0,2964167.0,124630.0,2967151.0
1976,12470683.0,22363173.0,2978537.0,22248663.0,2005275.0,118512.0,4666880.0,1285123.0,48809060.0,6654918.0,1915760.0,9341492.0,1950417.0,619693.0,1014142.0,2972063.0,351943.0,264644.0,857977.0,2967262.0,121597.0,3242589.0
1977,13132792.0,22754059.0,2636511.0,23021957.0,2069680.0,117967.0,4471081.0,1517205.0,45629674.0,5349524.0,1823197.0,9372062.0,1735197.0,607091.0,1244076.0,3293622.0,346097.0,246777.0,881705.0,3174388.0,130181.0,3132795.0
1978,13971819.0,20959806.0,3065792.0,23773653.0,2070475.0,120827.0,4736537.0,1694990.0,46781809.0,5276902.0,1887961.0,8713415.0,1763071.0,587285.0,1565364.0,3582253.0,288812.0,290614.0,792619.0,2754146.0,133419.0,3901332.0
1979,14855296.0,21823962.0,3202530.0,22460159.0,2183452.0,123975.0,4767322.0,1558519.0,43795531.0,5510964.0,2069060.0,8802890.0,1883300.0,583341.0,1846747.0,3126775.0,284313.0,278152.0,739297.0,2755288.0,140803.0,3523500.0
1980,14203365.0,21218888.0,3074395.0,23031914.0,2304351.0,120064.0,4710143.0,1809076.0,55115936.0,5613595.0,2018886.0,8541834.0,1798715.0,604925.0,1752806.0,3484258.0,352321.0,293871.0,631417.0,2881570.0,129244.0,3676763.0
1981,16018430.0,21156800.0,2785442.0,18398475.0,2601919.0,130188.0,4191226.0,1595466.0,57861418.0,5109637.0,2050554.0,10053432.0,1698426.0,634580.0,1439131.0,3422455.0,416063.0,260073.0,662962.0,2739561.0,138950.0,3434209.0
1982,16155854.0,20260527.0,2799664.0,18016643.0,2471490.0,124188.0,5000271.0,1698790.0,50507629.0,6386738.0,2207878.0,8926313.0,1885557.0,651826.0,1461320.0,3258600.0,297373.0,269695.0,681630.0,2851657.0,141688.0,3295938.0
1983,12783225.0,16826751.0,2697615.0,19801871.0,2514067.0,116658.0,4817353.0,1740034.0,47106109.0,5563258.0,1850228.0,8139707.0,1787153.0,608696.0,1116317.0,3161113.0,295265.0,258534.0,646751.0,2861112.0,146384.0,3567043.0
1984,16281036.0,16661482.0,2514464.0,19162265.0,2645344.0,122170.0,4877326.0,1619918.0,48672276.0,5846076.0,1870274.0,8218090.0,1824830.0,619425.0,1474197.0,3161292.0,279923.0,254659.0,680326.0,2783450.0,142485.0,4003796.0
1985,17456435.0,17236264.0,1682286.0,20547303.0,2834429.0,131697.0,5369647.0,1559023.0,58048792.0,5539515.0,1998319.0,8557987.0,1904101.0,597057.0,1464892.0,3048379.0,322647.0,256146.0,678040.0,2706938.0,126158.0,3914051.0
1986,17268012.0,17656603.0,1974363.0,18029452.0,2848532.0,121461.0,5277040.0,1564903.0,50273862.0,6382480.0,1886306.0,8628622.0,1949658.0,627901.0,1686826.0,2681862.0,288936.0,244194.0,708211.0,2640528.0,132369.0,3930534.0
1987,16411725.0,16424775.0,1995663.0,19217541.0,3152045.0,130527.0,5498467.0,1472229.0,48154776.0,6775391.0,1694668.0,7889705.0,1889798.0,699366.0,1688864.0,2885601.0,280554.0,261831.0,747096.0,2946220.0,141465.0,3890472.0
1988,14828064.0,18143575.0,2142997.0,17915805.0,3191904.0,116028.0,5394925.0,1482931.0,59964971.0,7087240.0,1856765.0,7770358.0,1954912.0,657179.0,1508647.0,3503525.0,253860.0,265542.0,775846.0,2812546.0,135838.0,4314763.0
